OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_Volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-Ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-Ignore
2021-12-23 05:45:00,3934.99,3956.76,3933.44,3944.72,1635.2302,2021-12-23 05:59:59.999,6454626.439114,5328.0,1040.3744,4106596.95435,0.0,48338.98,48468.87,48334.82,48451.74,91.7426,4441664.688409,3631.0,39.91326,1932583.7099173,0.0
2021-12-23 06:00:00,3944.73,3953.76,3939.87,3946.44,1172.4194,2021-12-23 06:14:59.999,4627164.363668,3332.0,784.6721,3096456.977407,0.0,48451.75,48555.55,48424.79,48477.31,120.2904,5832488.5774622,4395.0,72.43147,3511853.0481739,0.0
2021-12-23 06:15:00,3946.44,3946.45,3929.3,3933.17,579.031,2021-12-23 06:29:59.999,2279294.933392,2863.0,289.0086,1137561.795564,0.0,48477.31,48485.48,48351.53,48364.85,51.30531,2483543.3215459,2972.0,22.63127,1095459.6547032,0.0
2021-12-23 06:30:00,3933.16,3934.98,3923.31,3927.28,811.2368,2021-12-23 06:44:59.999,3186677.656379,3087.0,381.3972,1498228.257397,0.0,48364.78,48364.78,48250.01,48274.91,86.07458,4157821.5184952,3759.0,37.0168,1787977.5578981,0.0
2021-12-23 06:45:00,3926.98,3945.0,3926.76,3935.28,1109.0645,2021-12-23 06:59:59.999,4368646.118089,3562.0,753.3068,2967148.334269,0.0,48284.32,48459.91,48279.14,48375.0,82.31035,3983882.510186,3827.0,43.31259,2096058.0947306,0.0
2021-12-23 07:00:00,3935.87,3946.03,3934.61,3938.03,563.9597,2021-12-23 07:14:59.999,2222468.586289,2569.0,337.9423,1331686.748594,0.0,48375.0,48503.3,48374.99,48467.98,64.05701,3104384.8691792,3351.0,32.88534,1593546.369038,0.0
2021-12-23 07:15:00,3938.34,3942.86,3927.06,3938.15,486.0786,2021-12-23 07:29:59.999,1912278.580004,2387.0,206.187,811013.171,0.0,48467.97,48517.23,48348.48,48499.81,66.24286,3208206.7084265,3253.0,35.6135,1724827.8735809,0.0
2021-12-23 07:30:00,3938.71,3955.0,3935.53,3953.12,710.9186,2021-12-23 07:44:59.999,2806659.704709,3412.0,420.5819,1660261.921108,0.0,48500.88,48750.0,48457.55,48688.23,164.58885,8003563.0801848,6157.0,81.45023,3960725.2656632,0.0
2021-12-23 07:45:00,3953.42,3959.22,3943.2,3945.63,909.055,2021-12-23 07:59:59.999,3593832.338351,2993.0,676.7117,2675782.778863,0.0,48686.66,48803.59,48610.38,48634.8,119.68829,5832042.1716965,4357.0,66.1709,3224292.3235029,0.0
2021-12-23 08:00:00,3945.67,3965.62,3945.67,3955.22,1554.849,2021-12-23 08:14:59.999,6154328.805381,4528.0,969.6023,3838330.689774,0.0,48634.8,48874.04,48634.8,48707.54,129.82489,6331131.6238439,5378.0,56.10798,2736254.4990904,0.0
2021-12-23 08:15:00,3955.22,3966.23,3954.47,3961.03,639.8002,2021-12-23 08:29:59.999,2533419.164779,2356.0,354.5446,1403941.632813,0.0,48707.55,48817.34,48700.91,48807.82,62.20791,3033656.9498311,3183.0,34.27768,1671603.7766455,0.0
2021-12-23 08:30:00,3961.02,3966.8,3951.46,3952.53,920.2101,2021-12-23 08:44:59.999,3643952.307949,2808.0,527.1961,2087649.417811,0.0,48807.83,48862.81,48726.27,48731.54,112.70427,5500428.1636109,4143.0,65.04697,3174585.9802314,0.0
2021-12-23 08:45:00,3952.54,3958.0,3945.68,3949.44,808.8153,2021-12-23 08:59:59.999,3197139.988743,2664.0,479.6151,1895667.52253,0.0,48731.53,48775.5,48600.0,48633.93,121.07132,5896844.0098653,3480.0,59.06491,2876761.3976244,0.0
2021-12-23 09:00:00,3949.43,3956.38,3942.44,3954.89,541.3048,2021-12-23 09:14:59.999,2137889.946702,2287.0,267.3077,1055929.20472,0.0,48633.93,48718.09,48601.49,48683.64,67.91672,3305306.4072783,3284.0,31.65521,1540526.0693813,0.0
2021-12-23 09:15:00,3954.84,3955.92,3929.61,3938.0,1416.5173,2021-12-23 09:29:59.999,5580473.401072,4475.0,882.7752,3477057.978047,0.0,48683.64,48702.54,48520.88,48590.43,96.27707,4677008.4160769,3735.0,43.50931,2113489.3820736,0.0
2021-12-23 09:30:00,3938.17,3944.93,3933.0,3941.01,757.7209,2021-12-23 09:44:59.999,2985111.577691,2626.0,397.6562,1566598.773865,0.0,48585.92,48652.03,48550.64,48576.9,94.83066,4608900.5074906,3119.0,38.92208,1891817.3448384,0.0
2021-12-23 09:45:00,3940.92,3943.83,3927.66,3941.46,1376.9333,2021-12-23 09:59:59.999,5417756.824768,3417.0,638.4576,2512074.005325,0.0,48576.87,48637.32,48484.33,48614.7,93.67681,4547045.5309753,3707.0,49.56604,2405755.5023068,0.0
2021-12-23 10:00:00,3941.46,3952.45,3939.13,3949.94,1227.4282,2021-12-23 10:14:59.999,4841951.548632,3456.0,832.2218,3283116.233293,0.0,48614.7,48734.69,48596.0,48702.56,89.26295,4343347.5038229,3939.0,51.16655,2489733.0029612,0.0
2021-12-23 10:15:00,3950.28,3958.11,3947.05,3954.38,611.4657,2021-12-23 10:29:59.999,2417950.221351,2469.0,238.869,944532.1737,0.0,48708.08,48860.09,48678.52,48800.99,121.36147,5920973.6964658,4020.0,76.76312,3744857.513032,0.0
2021-12-23 10:30:00,3954.18,3957.42,3947.0,3947.57,428.7119,2021-12-23 10:44:59.999,1694004.467912,1919.0,237.0975,936847.050722,0.0,48802.21,48852.94,48740.6,48774.03,67.19186,3278645.9121581,2471.0,33.2714,1623366.7355504,0.0
2021-12-23 10:45:00,3947.08,3954.0,3944.01,3951.0,346.7113,2021-12-23 10:59:59.999,1369479.897174,1837.0,186.9565,738469.087443,0.0,48772.12,48858.01,48721.23,48835.08,120.20316,5867495.4255903,2907.0,71.40347,3485084.6480103,0.0
2021-12-23 11:00:00,3951.0,3973.84,3950.1,3960.03,1252.8117,2021-12-23 11:14:59.999,4964474.170533,4590.0,660.9961,2619074.974975,0.0,48835.08,49000.0,48830.0,48870.52,172.51954,8442650.1426281,5151.0,102.63333,5022339.025379,0.0
